timestamp,price,change24h,volume24h,liquidity,source
2026-04-04T15:05:22.482Z,0.830400,6.05,591076.41,77214.02,DEX Screener
2026-04-04T15:36:37.933Z,0.836500,6.47,605906.65,77104.44,DEX Screener
2026-04-04T15:39:46.282Z,0.836400,6.46,606170.05,75170.76,DEX Screener
2026-04-04T15:42:57.691Z,0.835700,6.36,608753.07,80864.45,DEX Screener
2026-04-04T16:01:10.076Z,0.837500,6.45,613377.10,82575.02,DEX Screener
2026-04-04T16:41:00.839Z,0.845900,6.90,642842.26,57154.03,DEX Screener
2026-04-04T16:42:10.367Z,0.845900,6.89,642660.93,67156.55,DEX Screener
2026-04-04T17:05:18.610Z,0.846300,6.42,664651.67,57135.18,DEX Screener
2026-04-04T17:35:36.556Z,0.862800,8.77,683973.79,57761.82,DEX Screener
2026-04-04T17:41:39.864Z,0.858300,8.34,693297.24,57666.98,DEX Screener
2026-04-04T18:01:16.842Z,0.857300,8.27,697002.05,57652.97,DEX Screener
2026-04-04T18:50:48.679Z,0.863400,8.29,721456.26,57911.68,DEX Screener
2026-04-04T18:51:44.184Z,0.863600,8.23,720805.81,57915.43,DEX Screener
2026-04-04T19:21:47.743Z,0.863600,8.48,722499.46,57948.54,DEX Screener
2026-04-04T19:34:45.067Z,0.865100,8.68,723833.03,57984.46,DEX Screener
2026-04-04T19:48:58.510Z,0.864800,8.70,724661.28,57974.52,DEX Screener
2026-04-04T20:01:49.078Z,0.867700,8.49,709436.32,57903.44,DEX Screener
2026-04-04T20:38:04.903Z,0.879900,8.56,707957.49,58237.06,DEX Screener
2026-04-04T20:40:47.686Z,0.878800,8.49,704117.54,58214.68,DEX Screener
2026-04-04T21:02:30.665Z,0.881700,8.83,711574.91,58312.53,DEX Screener
2026-04-04T21:36:13.023Z,0.892700,9.48,725001.25,58608.52,DEX Screener
2026-04-04T21:39:53.016Z,0.894300,9.59,732136.02,58668.98,DEX Screener
2026-04-04T21:58:36.060Z,0.894600,8.81,725161.40,62839.80,DEX Screener
2026-04-04T22:26:27.747Z,0.885200,8.84,707833.29,61083.86,DEX Screener
2026-04-04T22:35:27.797Z,0.856700,5.08,746951.17,60108.86,DEX Screener
2026-04-04T22:54:33.496Z,0.870400,6.60,762590.52,60710.25,DEX Screener
2026-04-04T23:18:39.615Z,0.864800,6.50,772720.81,60538.43,DEX Screener
2026-04-04T23:36:15.738Z,0.862700,6.70,779697.16,60510.18,DEX Screener
2026-04-04T23:49:14.988Z,0.857900,6.32,785660.19,60316.77,DEX Screener
2026-04-05T00:03:45.516Z,0.859600,6.59,786398.10,60401.36,DEX Screener
2026-04-05T02:51:44.414Z,0.836000,3.16,846366.00,76377.95,DEX Screener
2026-04-05T03:31:54.362Z,0.833800,2.43,858150.06,80973.29,DEX Screener
2026-04-05T05:17:18.971Z,0.846300,3.71,897904.89,83140.42,DEX Screener
2026-04-05T05:25:54.477Z,0.844200,3.48,902266.63,84031.21,DEX Screener
2026-04-05T06:40:31.733Z,0.842400,3.06,925409.87,79896.73,DEX Screener
2026-04-05T07:13:52.210Z,0.826800,-0.43,957522.43,83620.33,DEX Screener
2026-04-05T07:41:17.716Z,0.830600,1.12,943504.34,83935.11,DEX Screener
2026-04-05T08:07:02.646Z,0.829700,0.61,930096.62,83693.26,DEX Screener
2026-04-05T08:51:15.385Z,0.829300,0.60,933799.69,84113.50,DEX Screener
2026-04-05T08:57:58.814Z,0.839200,1.81,937037.77,84829.44,DEX Screener
2026-04-05T09:35:23.955Z,0.837700,2.28,932771.53,84746.48,DEX Screener
2026-04-05T09:43:32.746Z,0.835400,2.03,934968.08,84598.95,DEX Screener
2026-04-05T10:05:14.826Z,0.834300,1.65,932871.89,99098.90,DEX Screener
2026-04-05T10:39:37.255Z,0.834000,1.80,927747.07,99082.06,DEX Screener
2026-04-05T10:49:51.158Z,0.834500,1.95,925535.51,99508.86,DEX Screener
2026-04-05T11:17:30.811Z,0.834700,1.87,926070.10,99538.58,DEX Screener
2026-04-05T11:34:35.170Z,0.834800,2.02,925256.02,99946.55,DEX Screener
2026-04-05T11:46:47.653Z,0.834500,1.71,917641.52,99876.62,DEX Screener
2026-04-05T12:01:13.610Z,0.836000,1.85,918573.21,100017.07,DEX Screener
2026-04-05T13:06:19.189Z,0.829000,0.13,890310.02,99417.24,DEX Screener
2026-04-05T13:07:13.337Z,0.828900,0.12,890332.52,99413.44,DEX Screener
2026-04-05T13:59:02.673Z,0.832800,0.62,877639.41,99719.99,DEX Screener
2026-04-05T14:34:58.168Z,0.826000,-0.53,857541.98,99116.38,DEX Screener
2026-04-05T14:39:05.494Z,0.828000,-0.44,856396.81,99305.23,DEX Screener
2026-04-05T15:04:47.943Z,0.828800,-0.16,855267.39,94775.66,DEX Screener
2026-04-05T15:37:39.537Z,0.828100,-0.98,856516.25,94782.54,DEX Screener
2026-04-05T15:42:40.831Z,0.828600,-0.93,854221.27,94823.36,DEX Screener
2026-04-05T16:02:33.145Z,0.828500,-1.08,849398.88,94814.85,DEX Screener
2026-04-05T16:41:24.029Z,0.823700,-2.61,821104.30,94470.26,DEX Screener
2026-04-05T16:48:06.226Z,0.824000,-2.79,804656.90,94497.76,DEX Screener
2026-04-05T17:17:13.317Z,0.826900,-3.20,777907.76,94721.28,DEX Screener
2026-04-05T17:36:50.772Z,0.826300,-4.32,766853.70,94693.06,DEX Screener
2026-04-05T17:50:08.006Z,0.826800,-3.62,756859.98,94740.61,DEX Screener
2026-04-05T18:21:56.578Z,0.826100,-4.05,738842.65,94695.54,DEX Screener
2026-04-05T18:52:11.188Z,0.827100,-4.11,722063.02,94781.49,DEX Screener
2026-04-05T19:06:44.191Z,0.827200,-4.16,709568.17,94788.50,DEX Screener
2026-04-05T19:37:10.018Z,0.826600,-4.30,707570.22,94830.69,DEX Screener
2026-04-05T19:44:15.357Z,0.825400,-4.54,708060.13,94744.28,DEX Screener
2026-04-05T20:00:55.051Z,0.825700,-4.86,705204.92,94756.68,DEX Screener
2026-04-05T20:38:27.391Z,0.825800,-5.79,692461.25,94780.38,DEX Screener
2026-04-05T20:39:00.103Z,0.825800,-5.79,692481.91,94781.74,DEX Screener
2026-04-05T21:02:27.008Z,0.827000,-6.25,685859.52,94871.51,DEX Screener
2026-04-05T21:37:37.436Z,0.826900,-7.54,657150.96,94918.10,DEX Screener
2026-04-05T21:40:49.697Z,0.826900,-7.68,656376.49,94918.87,DEX Screener
2026-04-05T21:59:41.322Z,0.826600,-7.64,648228.60,94894.25,DEX Screener
2026-04-05T22:31:39.448Z,0.826500,-2.48,599071.25,94888.73,DEX Screener
2026-04-05T22:36:52.138Z,0.826700,-3.27,584982.96,95613.45,DEX Screener
2026-04-05T23:01:26.738Z,0.828000,-4.57,566499.00,95501.22,DEX Screener
2026-04-05T23:38:47.071Z,0.826100,-4.11,542417.22,95400.95,DEX Screener
2026-04-05T23:39:26.082Z,0.826400,-4.07,542829.97,95427.38,DEX Screener
2026-04-06T00:02:07.067Z,0.828900,-3.60,538007.10,95626.78,DEX Screener
2026-04-06T02:53:22.031Z,0.829600,-0.72,444376.93,99350.17,DEX Screener
2026-04-06T03:25:24.560Z,0.836300,-0.13,461769.94,99843.56,DEX Screener
2026-04-06T05:29:38.923Z,0.852200,0.64,485852.41,97256.40,DEX Screener
2026-04-06T05:36:57.187Z,0.851800,0.52,486346.17,97244.17,DEX Screener
2026-04-06T07:10:55.676Z,0.845600,2.01,414770.75,97648.83,DEX Screener
2026-04-06T07:50:55.699Z,0.839600,1.37,401187.22,97226.13,DEX Screener
2026-04-06T08:45:17.381Z,0.842600,1.60,364279.04,97479.03,DEX Screener
2026-04-06T09:14:35.109Z,0.842500,0.47,353131.50,96403.40,DEX Screener
2026-04-06T09:53:01.257Z,0.846700,1.38,364888.47,96327.10,DEX Screener
2026-04-06T10:44:14.731Z,0.845500,1.38,367155.92,95776.66,DEX Screener
2026-04-06T11:01:51.872Z,0.843000,1.03,370177.64,95630.70,DEX Screener
2026-04-06T11:35:02.870Z,0.846000,1.32,375213.26,95631.92,DEX Screener
2026-04-06T12:08:48.799Z,0.848700,1.62,379539.48,95658.94,DEX Screener
2026-04-06T13:20:04.477Z,0.848900,2.25,384518.84,96684.35,DEX Screener
2026-04-06T13:43:26.173Z,0.849100,1.94,384852.87,96710.79,DEX Screener
2026-04-06T14:34:24.055Z,0.853800,3.28,388392.11,97011.50,DEX Screener
2026-04-06T14:53:54.869Z,0.853600,3.05,389523.40,97041.00,DEX Screener
2026-04-06T15:26:56.589Z,0.854400,2.90,393939.48,97124.56,DEX Screener
2026-04-06T15:53:31.780Z,0.858200,3.58,392137.66,97452.95,DEX Screener
2026-04-06T16:06:35.908Z,0.859800,4.00,393252.80,97562.54,DEX Screener
2026-04-06T16:55:28.300Z,0.858300,4.06,404910.50,95410.15,DEX Screener
2026-04-06T17:02:21.683Z,0.858300,3.90,402635.48,95410.09,DEX Screener
2026-04-06T17:51:27.392Z,0.855700,3.50,406946.69,95297.39,DEX Screener
2026-04-06T17:53:22.317Z,0.854900,3.38,407931.50,95245.36,DEX Screener
2026-04-06T18:37:49.475Z,0.854600,3.42,408742.93,96303.08,DEX Screener
2026-04-06T19:08:01.205Z,0.860800,4.07,414437.66,96698.26,DEX Screener
2026-04-06T19:39:01.058Z,0.857700,3.75,417369.48,96530.37,DEX Screener
2026-04-06T20:08:41.503Z,0.856800,3.76,417498.54,96486.89,DEX Screener
2026-04-06T20:41:48.885Z,0.856200,3.66,414531.73,96452.24,DEX Screener
2026-04-06T20:52:38.538Z,0.855900,3.51,414404.68,96433.33,DEX Screener
2026-04-06T21:25:38.139Z,0.855800,3.49,413781.42,96426.99,DEX Screener
2026-04-06T21:41:46.177Z,0.852300,3.08,417823.61,96316.88,DEX Screener
2026-04-06T21:56:16.969Z,0.850500,2.89,419980.23,96199.76,DEX Screener
2026-04-06T22:26:13.268Z,0.847900,2.59,423281.51,96021.52,DEX Screener
2026-04-06T22:41:29.688Z,0.848700,2.64,423218.47,96084.04,DEX Screener
2026-04-06T23:01:10.491Z,0.854000,3.14,428844.39,96460.39,DEX Screener
2026-04-06T23:41:07.549Z,0.856200,3.27,424360.82,96604.78,DEX Screener
2026-04-07T00:04:41.161Z,0.857800,3.61,451648.76,96788.70,DEX Screener
2026-04-07T02:46:43.492Z,0.849700,2.44,515376.02,98719.62,DEX Screener
2026-04-07T03:25:19.389Z,0.851900,1.88,495403.20,99390.01,DEX Screener
2026-04-07T05:13:32.566Z,0.854300,0.72,421345.62,99905.14,DEX Screener
2026-04-07T05:23:06.712Z,0.854100,0.31,416228.05,99896.52,DEX Screener
2026-04-07T06:49:06.376Z,0.852700,0.75,420528.51,100617.78,DEX Screener
2026-04-07T07:25:04.472Z,0.856200,1.60,424049.73,100873.69,DEX Screener
2026-04-07T08:01:23.765Z,0.858300,2.23,424002.87,101026.33,DEX Screener
2026-04-07T09:09:21.002Z,0.856700,1.73,429246.63,101424.17,DEX Screener
2026-04-07T09:10:17.190Z,0.856700,1.71,429088.19,101424.17,DEX Screener
2026-04-07T10:16:03.606Z,0.857700,1.34,423940.03,100502.50,DEX Screener
2026-04-07T11:01:10.593Z,0.852800,1.17,427281.01,87540.61,DEX Screener
2026-04-07T11:15:18.016Z,0.853400,0.81,422791.60,87688.58,DEX Screener
2026-04-07T12:03:30.212Z,0.851600,0.34,421326.79,100149.54,DEX Screener
2026-04-07T13:42:06.842Z,0.855100,0.70,436386.08,100492.33,DEX Screener
2026-04-07T13:53:21.371Z,0.854800,0.57,435898.89,100487.15,DEX Screener
2026-04-07T14:58:54.773Z,0.851100,-0.34,442821.85,87021.67,DEX Screener
2026-04-07T15:14:04.844Z,0.850600,-0.46,441027.77,87677.76,DEX Screener
2026-04-07T16:09:31.712Z,0.847200,-1.38,433852.88,99905.14,DEX Screener
2026-04-07T17:05:22.365Z,0.847400,-1.30,415722.16,99994.82,DEX Screener
2026-04-07T17:14:40.029Z,0.846700,-1.24,405388.73,99943.01,DEX Screener
2026-04-07T18:09:04.543Z,0.848000,-0.89,408151.85,100034.51,DEX Screener
2026-04-07T19:11:05.387Z,0.846300,-1.67,424641.55,99995.53,DEX Screener
2026-04-07T19:20:22.799Z,0.847100,-1.37,424310.01,100057.98,DEX Screener
2026-04-07T20:03:29.695Z,0.848700,-0.94,428109.63,100200.70,DEX Screener
2026-04-07T20:53:49.301Z,0.848900,-0.81,427464.86,100047.52,DEX Screener
2026-04-07T20:59:02.599Z,0.849000,-0.80,427819.45,100054.31,DEX Screener
2026-04-07T21:40:52.478Z,0.849700,-0.31,427087.36,99994.72,DEX Screener
2026-04-07T21:47:48.628Z,0.849700,-0.09,424832.22,99926.86,DEX Screener
2026-04-07T22:21:31.225Z,0.850800,0.34,426515.42,100003.09,DEX Screener
2026-04-07T22:42:30.127Z,0.851200,0.29,431092.52,100044.21,DEX Screener
2026-04-07T23:01:53.685Z,0.851500,-0.29,422533.97,100090.98,DEX Screener
2026-04-07T23:41:23.727Z,0.854500,-0.27,424820.54,100266.14,DEX Screener
2026-04-07T23:43:35.448Z,0.854400,-0.62,410006.33,100263.96,DEX Screener
2026-04-08T01:03:40.729Z,0.855700,-0.18,392294.00,87526.07,DEX Screener
2026-04-08T02:48:06.509Z,0.853000,0.42,351954.53,87479.41,DEX Screener
2026-04-08T03:55:26.970Z,0.853200,0.18,350702.29,88510.10,DEX Screener
2026-04-08T05:15:46.870Z,0.855800,0.18,362742.45,92198.55,DEX Screener
2026-04-08T05:42:38.154Z,0.856400,-0.68,352138.61,92214.34,DEX Screener
2026-04-08T07:01:29.578Z,0.853600,-0.24,342728.99,92131.79,DEX Screener
2026-04-08T07:28:06.318Z,0.854600,-0.20,342147.47,92190.76,DEX Screener
2026-04-08T08:15:25.791Z,0.854300,-0.50,349746.73,92094.63,DEX Screener
2026-04-08T09:07:50.848Z,0.855400,-0.15,349213.32,92165.67,DEX Screener
2026-04-08T09:19:56.066Z,0.855200,-0.25,340263.69,92162.68,DEX Screener
2026-04-08T10:32:41.907Z,0.855200,0.32,332736.77,92482.29,DEX Screener
2026-04-08T11:02:18.261Z,0.855800,0.27,335987.32,92524.33,DEX Screener
2026-04-08T11:33:06.091Z,0.854600,0.31,333358.47,92699.42,DEX Screener
2026-04-08T12:10:16.592Z,0.856200,0.55,336164.32,92785.54,DEX Screener
2026-04-08T13:28:24.933Z,0.855200,0.12,317427.11,94569.07,DEX Screener
2026-04-08T14:00:37.877Z,0.855900,0.15,306354.84,94615.64,DEX Screener
2026-04-08T15:13:25.814Z,0.856000,0.63,291345.77,94949.43,DEX Screener
2026-04-08T15:15:04.676Z,0.856400,0.68,292026.32,94972.83,DEX Screener
2026-04-08T16:21:28.789Z,0.856600,1.08,284190.29,95491.30,DEX Screener
2026-04-08T17:08:52.141Z,0.856500,1.11,283659.03,95509.85,DEX Screener
2026-04-08T17:35:52.962Z,0.856700,1.04,278553.18,95521.04,DEX Screener
2026-04-08T18:50:14.252Z,0.855800,1.11,254550.68,98147.80,DEX Screener
2026-04-08T19:23:49.409Z,0.855900,1.05,252767.43,98149.60,DEX Screener
2026-04-08T19:50:36.836Z,0.855900,1.01,250495.02,98155.90,DEX Screener
2026-04-08T20:27:29.972Z,0.855900,0.84,244506.88,96415.45,DEX Screener
2026-04-08T20:51:04.131Z,0.855800,0.80,244083.14,96410.79,DEX Screener
2026-04-08T21:08:10.939Z,0.855900,0.81,244182.40,96416.06,DEX Screener
2026-04-08T21:46:40.713Z,0.855800,0.71,241149.16,96415.51,DEX Screener
2026-04-08T21:56:51.354Z,0.855800,0.61,238320.00,96414.08,DEX Screener
2026-04-08T22:32:14.427Z,0.855700,0.53,234239.79,96411.06,DEX Screener
2026-04-08T22:45:11.535Z,0.853700,0.30,240494.95,96322.07,DEX Screener
2026-04-08T23:10:00.814Z,0.849600,-0.23,248673.94,96116.81,DEX Screener
2026-04-08T23:42:20.762Z,0.850000,-0.52,258869.95,96180.04,DEX Screener
2026-04-08T23:51:33.425Z,0.855900,0.17,279402.31,96544.47,DEX Screener
2026-04-09T00:56:10.567Z,0.855300,-0.03,275364.21,96543.83,DEX Screener
2026-04-09T02:42:46.894Z,0.843100,-1.16,277592.03,95913.10,DEX Screener
2026-04-09T03:42:58.163Z,0.848000,-0.49,284493.35,96289.03,DEX Screener
2026-04-09T05:13:39.957Z,0.835600,-2.35,331172.99,95261.89,DEX Screener
2026-04-09T05:30:59.421Z,0.836300,-2.36,332376.76,95442.02,DEX Screener
2026-04-09T06:56:54.019Z,0.840800,-1.50,343071.60,96332.83,DEX Screener
2026-04-09T07:43:45.504Z,0.840600,-1.96,342252.54,96359.15,DEX Screener
2026-04-09T08:15:21.686Z,0.837700,-1.94,342232.54,96165.79,DEX Screener
2026-04-09T09:14:40.774Z,0.838100,-2.01,347310.40,96222.83,DEX Screener
2026-04-09T09:41:31.004Z,0.835000,-2.56,348278.53,75063.67,DEX Screener
2026-04-09T10:44:49.407Z,0.835800,-2.34,360811.64,98767.19,DEX Screener
2026-04-09T11:03:29.758Z,0.836200,-2.30,362840.34,98800.25,DEX Screener
2026-04-09T11:38:13.594Z,0.836200,-2.19,358066.70,98809.73,DEX Screener
2026-04-09T12:44:00.112Z,0.836100,-2.20,354644.02,98128.81,DEX Screener
2026-04-09T13:51:35.936Z,0.838900,-2.00,373185.47,98370.88,DEX Screener
2026-04-09T14:26:07.220Z,0.836800,-2.22,380615.52,98393.11,DEX Screener
2026-04-09T15:25:50.767Z,0.834000,-2.64,394950.91,98278.05,DEX Screener
2026-04-09T15:59:31.327Z,0.834300,-2.60,395846.53,98270.25,DEX Screener
2026-04-09T17:06:59.054Z,0.834200,-2.62,392046.39,98141.66,DEX Screener
2026-04-09T17:12:40.374Z,0.835300,-2.50,395839.84,98229.78,DEX Screener
2026-04-09T18:07:09.482Z,0.838900,-2.11,408186.76,98290.74,DEX Screener
2026-04-09T19:14:25.822Z,0.839100,-1.96,408394.55,97417.69,DEX Screener
2026-04-09T19:23:03.813Z,0.839400,-1.92,409093.18,97434.22,DEX Screener
2026-04-09T20:10:22.496Z,0.839400,-1.93,410153.49,97435.91,DEX Screener
2026-04-09T20:56:48.292Z,0.839300,-1.92,410347.35,97698.46,DEX Screener
2026-04-09T21:01:50.349Z,0.839200,-1.93,410704.18,97687.60,DEX Screener
2026-04-09T21:51:14.538Z,0.839600,-1.90,410883.69,97721.09,DEX Screener
2026-04-09T21:52:11.170Z,0.839600,-1.90,410883.69,97721.09,DEX Screener
2026-04-09T22:27:30.953Z,0.839600,-1.88,411253.10,97724.79,DEX Screener
2026-04-09T22:48:01.505Z,0.839300,-1.70,402448.65,97712.52,DEX Screener
